Plan_ID,Gender,Age_Group,BMI_Category,Fitness_Goal,Activity_Level,Dietary_Preference,Medical_Conditions,Allergies_Intolerances,Exercise_Schedule,Meal_Plan,Nutritional_Facts,Est_Calories_Burned,Semantic_Description
PLAN_087,Male,50+,Normal,Endurance/Stamina,Intermediate,Vegan,,Soy Allergy,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Oat porridge with berries. Lunch: Lentil and vegetable soup. Dinner: Chickpea curry with quinoa. Snacks: Apple with sunflower seed butter.,"{Calories: 2300 kcal, Protein: 172g, Carbs: 258g, Fats: 64g}",2317,"PLAN_087: A vegan endurance/stamina plan for a 50+ year old male with normal BMI, managing soy allergy. Intermediate level exercise with 2300 kcal daily target."
PLAN_088,Male,50+,Overweight,Endurance/Stamina,Advanced,Halal,,,Monday: Long run 75 mins. Tuesday: HIIT cycling 35 mins. Wednesday: Swim intervals 55 mins. Thursday: Yoga 30 mins. Friday: Tempo run 50 mins. Saturday: Trail run 100 mins. Sunday: Rest.,Breakfast: Vegetable omelet with toast. Lunch: Grilled chicken salad with rice. Dinner: Beef kebabs with grilled vegetables. Snacks: Dates and yogurt.,"{Calories: 2200 kcal, Protein: 165g, Carbs: 247g, Fats: 61g}",3972,PLAN_088: A halal endurance/stamina plan for a 50+ year old male with overweight BMI. Advanced level exercise with 2200 kcal daily target.
PLAN_089,Any,18-25,Underweight,Weight Loss,Beginner,Vegan,,Shellfish Allergy,Monday: Jogging 35 mins. Tuesday: Resistance training 30 mins. Wednesday: Rest. Thursday: Cycling 40 mins. Friday: HIIT 20 mins. Saturday: Swimming 40 mins. Sunday: Stretching.,Breakfast: Avocado toast with tomatoes. Lunch: Chickpea salad wrap. Dinner: Tempeh and roasted vegetable bowl. Snacks: Edamame and fruit.,"{Calories: 2200 kcal, Protein: 165g, Carbs: 247g, Fats: 61g}",1261,"PLAN_089: A vegan weight loss plan for a 18-25 year old any with underweight BMI, managing shellfish allergy. Beginner level exercise with 2200 kcal daily target."
PLAN_090,Any,26-35,Overweight,Maintenance,Intermediate,Any,Hypertension,Shellfish Allergy,Monday: Cycling 40 mins. Tuesday: Bodyweight exercises 35 mins. Wednesday: Rest. Thursday: Yoga 30 mins. Friday: Brisk walking 40 mins. Saturday: Hiking 55 mins. Sunday: Stretching.,Breakfast: Eggs and toast with fruit. Lunch: Turkey sandwich with salad. Dinner: Beef stir fry with rice. Snacks: Protein bar and banana.,"{Calories: 1800 kcal, Protein: 135g, Carbs: 202g, Fats: 50g}",2809,"PLAN_090: A any maintenance plan for a 26-35 year old any with overweight BMI and hypertension, managing shellfish allergy. Intermediate level exercise with 1800 kcal daily target."
PLAN_091,Any,50+,Obese,Weight Loss,Beginner,Vegan,Diabetes,,Monday: Walking 30 mins. Tuesday: Chair yoga 20 mins. Wednesday: Rest. Thursday: Water aerobics 30 mins. Friday: Walking 35 mins. Saturday: Light resistance bands 20 mins. Sunday: Rest.,Breakfast: Avocado toast with tomatoes. Lunch: Chickpea salad wrap. Dinner: Tempeh and roasted vegetable bowl. Snacks: Edamame and fruit.,"{Calories: 1300 kcal, Protein: 97g, Carbs: 146g, Fats: 36g}",1327,PLAN_091: A vegan weight loss plan for a 50+ year old any with obese BMI and diabetes. Beginner level exercise with 1300 kcal daily target.
PLAN_092,Any,18-25,Obese,Endurance/Stamina,Intermediate,Keto,Arthritis,Nut Allergy,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Smoked salmon with cream cheese. Lunch: Tuna salad with mayo. Dinner: Lamb chops with roasted vegetables. Snacks: Macadamia nuts.,"{Calories: 1900 kcal, Protein: 142g, Carbs: 71g, Fats: 116g}",2200,"PLAN_092: A keto endurance/stamina plan for a 18-25 year old any with obese BMI and arthritis, managing nut allergy. Intermediate level exercise with 1900 kcal daily target."
PLAN_093,Male,50+,Underweight,Maintenance,Intermediate,Any,,Gluten Intolerance,Monday: Cycling 40 mins. Tuesday: Bodyweight exercises 35 mins. Wednesday: Rest. Thursday: Yoga 30 mins. Friday: Brisk walking 40 mins. Saturday: Hiking 55 mins. Sunday: Stretching.,Breakfast: Eggs with rice cakes. Lunch: Turkey and vegetable stir fry with rice. Dinner: Baked salmon with vegetables. Snacks: Fruit and nut mix.,"{Calories: 2400 kcal, Protein: 180g, Carbs: 270g, Fats: 66g}",2712,"PLAN_093: A any maintenance plan for a 50+ year old male with underweight BMI, managing gluten intolerance. Intermediate level exercise with 2400 kcal daily target."
PLAN_094,Any,36-50,Normal,Maintenance,Intermediate,Vegan,,,Monday: Swimming 40 mins. Tuesday: Strength training 35 mins. Wednesday: Rest. Thursday: Jogging 30 mins. Friday: Pilates 30 mins. Saturday: Hiking 60 mins. Sunday: Stretching.,Breakfast: Avocado toast with tomatoes. Lunch: Chickpea salad wrap. Dinner: Tempeh and roasted vegetable bowl. Snacks: Edamame and fruit.,"{Calories: 2100 kcal, Protein: 157g, Carbs: 236g, Fats: 58g}",2282,PLAN_094: A vegan maintenance plan for a 36-50 year old any with normal BMI. Intermediate level exercise with 2100 kcal daily target.
PLAN_095,Any,50+,Normal,Maintenance,Advanced,Keto,,,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Smoked salmon with cream cheese. Lunch: Tuna salad with mayo. Dinner: Lamb chops with roasted vegetables. Snacks: Macadamia nuts.,"{Calories: 2300 kcal, Protein: 172g, Carbs: 86g, Fats: 140g}",4452,PLAN_095: A keto maintenance plan for a 50+ year old any with normal BMI. Advanced level exercise with 2300 kcal daily target.
PLAN_096,Female,36-50,Overweight,Endurance/Stamina,Advanced,Any,Thyroid Disorder,,Monday: Long run 75 mins. Tuesday: HIIT cycling 35 mins. Wednesday: Swim intervals 55 mins. Thursday: Yoga 30 mins. Friday: Tempo run 50 mins. Saturday: Trail run 100 mins. Sunday: Rest.,Breakfast: Oats with berries and yogurt. Lunch: Chicken wrap with salad. Dinner: Grilled fish with quinoa. Snacks: Yogurt and fruit.,"{Calories: 2300 kcal, Protein: 172g, Carbs: 258g, Fats: 64g}",3726,PLAN_096: A any endurance/stamina plan for a 36-50 year old female with overweight BMI and thyroid disorder. Advanced level exercise with 2300 kcal daily target.
PLAN_097,Male,50+,Overweight,Muscle Gain,Beginner,Halal,,,Monday: Walking 25 mins. Tuesday: Light stretching 20 mins. Wednesday: Rest. Thursday: Beginner bodyweight 25 mins. Friday: Walking 30 mins. Saturday: Yoga 20 mins. Sunday: Rest.,Breakfast: Oats with dates and milk. Lunch: Grilled lamb with rice and salad. Dinner: Chicken curry with naan. Snacks: Banana smoothie and nuts.,"{Calories: 1800 kcal, Protein: 135g, Carbs: 202g, Fats: 50g}",1890,PLAN_097: A halal muscle gain plan for a 50+ year old male with overweight BMI. Beginner level exercise with 1800 kcal daily target.
PLAN_098,Female,50+,Underweight,Maintenance,Advanced,Halal,Hypertension,Shellfish Allergy,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Oatmeal with banana (no salt). Lunch: Grilled chicken with steamed vegetables. Dinner: Fish soup with brown rice (reduced sodium). Snacks: Fresh fruit.,"{Calories: 2700 kcal, Protein: 202g, Carbs: 303g, Fats: 75g}",4290,"PLAN_098: A halal maintenance plan for a 50+ year old female with underweight BMI and hypertension, managing shellfish allergy. Advanced level exercise with 2700 kcal daily target."
PLAN_099,Any,26-35,Normal,Maintenance,Beginner,Vegan,,,Monday: Light walking 20 mins. Tuesday: Gentle yoga 20 mins. Wednesday: Rest. Thursday: Resistance bands 20 mins. Friday: Walking 25 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Avocado toast with tomatoes. Lunch: Chickpea salad wrap. Dinner: Tempeh and roasted vegetable bowl. Snacks: Edamame and fruit.,"{Calories: 2000 kcal, Protein: 150g, Carbs: 225g, Fats: 55g}",1681,PLAN_099: A vegan maintenance plan for a 26-35 year old any with normal BMI. Beginner level exercise with 2000 kcal daily target.
PLAN_100,Female,18-25,Normal,Endurance/Stamina,Intermediate,Keto,Heart Disease,Gluten Intolerance,Monday: Slow treadmill walk 20 mins. Tuesday: Gentle yoga 25 mins. Wednesday: Rest. Thursday: Water walking 25 mins. Friday: Stretching 20 mins. Saturday: Balance exercises 15 mins. Sunday: Rest.,Breakfast: Scrambled eggs with cream cheese. Lunch: Chicken Caesar salad (no croutons). Dinner: Pork chops with steamed broccoli. Snacks: Pepperoni slices.,"{Calories: 2600 kcal, Protein: 195g, Carbs: 97g, Fats: 159g}",2200,"PLAN_100: A keto endurance/stamina plan for a 18-25 year old female with normal BMI and heart disease, managing gluten intolerance. Intermediate level exercise with 2600 kcal daily target."
PLAN_101,Male,18-25,Underweight,Weight Loss,Advanced,Keto,Hypertension,Nut Allergy,Monday: Brisk walk 40 mins. Tuesday: Resistance bands 30 mins. Wednesday: Yoga 25 mins. Thursday: Cycling 35 mins. Friday: Jogging 30 mins. Saturday: Swimming 35 mins. Sunday: Rest.,Breakfast: Eggs with avocado. Lunch: Grilled fish salad. Dinner: Chicken with steamed vegetables (no added salt). Snacks: Unsalted nuts.,"{Calories: 2700 kcal, Protein: 202g, Carbs: 101g, Fats: 165g}",4350,"PLAN_101: A keto weight loss plan for a 18-25 year old male with underweight BMI and hypertension, managing nut allergy. Advanced level exercise with 2700 kcal daily target."
PLAN_102,Male,36-50,Overweight,Muscle Gain,Intermediate,Vegan,Heart Disease,Soy Allergy,Monday: Walking 25 mins. Tuesday: Seated stretching 20 mins. Wednesday: Rest. Thursday: Light water exercises 20 mins. Friday: Walking 30 mins. Saturday: Tai chi 20 mins. Sunday: Rest.,Breakfast: Smoothie with oats and banana. Lunch: Black bean and rice bowl. Dinner: Roasted vegetable lentil stew. Snacks: Fruit salad.,"{Calories: 2100 kcal, Protein: 157g, Carbs: 236g, Fats: 58g}",2200,"PLAN_102: A vegan muscle gain plan for a 36-50 year old male with overweight BMI and heart disease, managing soy allergy. Intermediate level exercise with 2100 kcal daily target."
PLAN_103,Any,50+,Underweight,Endurance/Stamina,Intermediate,Halal,,Soy Allergy,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,"Breakfast: Eggs with flatbread and cheese. Lunch: Chicken biryani with salad. Dinner: Beef stew with potatoes and bread. Snacks: Dates, milk smoothie.","{Calories: 2700 kcal, Protein: 202g, Carbs: 303g, Fats: 75g}",2541,"PLAN_103: A halal endurance/stamina plan for a 50+ year old any with underweight BMI, managing soy allergy. Intermediate level exercise with 2700 kcal daily target."
PLAN_104,Female,26-35,Normal,Endurance/Stamina,Advanced,Halal,,Gluten Intolerance,Monday: Marathon pace run 80 mins. Tuesday: Circuit training 40 mins. Wednesday: Cycling 60 mins. Thursday: Swimming 45 mins. Friday: Sprint drills 30 mins. Saturday: Long-distance cycling 90 mins. Sunday: Mobility work.,Breakfast: Eggs with gluten-free toast and tomatoes. Lunch: Rice bowl with halal beef and vegetables. Dinner: Grilled fish with brown rice. Snacks: Dates and almonds.,"{Calories: 2800 kcal, Protein: 210g, Carbs: 315g, Fats: 77g}",3864,"PLAN_104: A halal endurance/stamina plan for a 26-35 year old female with normal BMI, managing gluten intolerance. Advanced level exercise with 2800 kcal daily target."
PLAN_105,Any,36-50,Underweight,Maintenance,Advanced,Keto,,Lactose Intolerance,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Egg scramble with mushrooms. Lunch: Salmon with arugula and lemon. Dinner: Chicken thighs with roasted broccoli. Snacks: Pork rinds and celery.,"{Calories: 2800 kcal, Protein: 210g, Carbs: 105g, Fats: 171g}",4410,"PLAN_105: A keto maintenance plan for a 36-50 year old any with underweight BMI, managing lactose intolerance. Advanced level exercise with 2800 kcal daily target."
PLAN_106,Male,36-50,Normal,Endurance/Stamina,Beginner,Vegan,Asthma,Nut Allergy,Monday: Light walking 20 mins. Tuesday: Gentle yoga 20 mins. Wednesday: Rest. Thursday: Resistance bands 20 mins. Friday: Walking 25 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Peanut butter oat smoothie with banana. Lunch: Tempeh rice bowl with avocado. Dinner: Lentil pasta with tomato sauce. Snacks: Trail mix and soy yogurt.,"{Calories: 2200 kcal, Protein: 165g, Carbs: 247g, Fats: 61g}",1878,"PLAN_106: A vegan endurance/stamina plan for a 36-50 year old male with normal BMI and asthma, managing nut allergy. Beginner level exercise with 2200 kcal daily target."
PLAN_107,Any,36-50,Obese,Endurance/Stamina,Beginner,Any,Thyroid Disorder,Nut Allergy,Monday: Walking 25 mins. Tuesday: Light stretching 20 mins. Wednesday: Rest. Thursday: Beginner bodyweight 25 mins. Friday: Walking 30 mins. Saturday: Yoga 20 mins. Sunday: Rest.,Breakfast: Eggs and toast with fruit. Lunch: Turkey sandwich with salad. Dinner: Beef stir fry with rice. Snacks: Protein bar and banana.,"{Calories: 1500 kcal, Protein: 112g, Carbs: 168g, Fats: 42g}",1665,"PLAN_107: A any endurance/stamina plan for a 36-50 year old any with obese BMI and thyroid disorder, managing nut allergy. Beginner level exercise with 1500 kcal daily target."
PLAN_108,Female,26-35,Normal,Maintenance,Advanced,Halal,Thyroid Disorder,Nut Allergy,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Vegetable omelet with toast. Lunch: Grilled chicken salad with rice. Dinner: Beef kebabs with grilled vegetables. Snacks: Dates and yogurt.,"{Calories: 2500 kcal, Protein: 187g, Carbs: 281g, Fats: 69g}",3958,"PLAN_108: A halal maintenance plan for a 26-35 year old female with normal BMI and thyroid disorder, managing nut allergy. Advanced level exercise with 2500 kcal daily target."
PLAN_109,Any,50+,Overweight,Muscle Gain,Advanced,Halal,,Nut Allergy,Monday: Deadlifts and rows 60 mins. Tuesday: Plyometrics 30 mins. Wednesday: Bench and shoulder press 60 mins. Thursday: Rest. Friday: Squat variations 65 mins. Saturday: Functional fitness 45 mins. Sunday: Mobility work.,"Breakfast: Eggs with flatbread and cheese. Lunch: Chicken biryani with salad. Dinner: Beef stew with potatoes and bread. Snacks: Dates, milk smoothie.","{Calories: 2300 kcal, Protein: 172g, Carbs: 258g, Fats: 64g}",4491,"PLAN_109: A halal muscle gain plan for a 50+ year old any with overweight BMI, managing nut allergy. Advanced level exercise with 2300 kcal daily target."
PLAN_110,Any,50+,Underweight,Muscle Gain,Beginner,Halal,Thyroid Disorder,,Monday: Light walking 20 mins. Tuesday: Gentle yoga 20 mins. Wednesday: Rest. Thursday: Resistance bands 20 mins. Friday: Walking 25 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Oats with dates and milk. Lunch: Grilled lamb with rice and salad. Dinner: Chicken curry with naan. Snacks: Banana smoothie and nuts.,"{Calories: 2600 kcal, Protein: 195g, Carbs: 292g, Fats: 72g}",1873,PLAN_110: A halal muscle gain plan for a 50+ year old any with underweight BMI and thyroid disorder. Beginner level exercise with 2600 kcal daily target.
PLAN_111,Female,36-50,Underweight,Weight Loss,Intermediate,Keto,Hypertension,Lactose Intolerance,Monday: Jogging 35 mins. Tuesday: Resistance training 30 mins. Wednesday: Rest. Thursday: Cycling 40 mins. Friday: HIIT 20 mins. Saturday: Swimming 40 mins. Sunday: Stretching.,Breakfast: Egg scramble with mushrooms. Lunch: Salmon with arugula and lemon. Dinner: Chicken thighs with roasted broccoli. Snacks: Pork rinds and celery.,"{Calories: 2200 kcal, Protein: 165g, Carbs: 82g, Fats: 134g}",2255,"PLAN_111: A keto weight loss plan for a 36-50 year old female with underweight BMI and hypertension, managing lactose intolerance. Intermediate level exercise with 2200 kcal daily target."
PLAN_112,Male,26-35,Overweight,Muscle Gain,Beginner,Keto,Thyroid Disorder,Soy Allergy,Monday: Light walking 20 mins. Tuesday: Gentle yoga 20 mins. Wednesday: Rest. Thursday: Resistance bands 20 mins. Friday: Walking 25 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Smoked salmon with cream cheese. Lunch: Tuna salad with mayo. Dinner: Lamb chops with roasted vegetables. Snacks: Macadamia nuts.,"{Calories: 2000 kcal, Protein: 150g, Carbs: 75g, Fats: 122g}",1837,"PLAN_112: A keto muscle gain plan for a 26-35 year old male with overweight BMI and thyroid disorder, managing soy allergy. Beginner level exercise with 2000 kcal daily target."
PLAN_113,Female,26-35,Overweight,Endurance/Stamina,Intermediate,Halal,,Shellfish Allergy,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Vegetable omelet with toast. Lunch: Grilled chicken salad with rice. Dinner: Beef kebabs with grilled vegetables. Snacks: Dates and yogurt.,"{Calories: 2100 kcal, Protein: 157g, Carbs: 236g, Fats: 58g}",2978,"PLAN_113: A halal endurance/stamina plan for a 26-35 year old female with overweight BMI, managing shellfish allergy. Intermediate level exercise with 2100 kcal daily target."
PLAN_114,Female,26-35,Overweight,Muscle Gain,Intermediate,Halal,,Lactose Intolerance,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Oats with dates and milk. Lunch: Grilled lamb with rice and salad. Dinner: Chicken curry with naan. Snacks: Banana smoothie and nuts.,"{Calories: 2200 kcal, Protein: 165g, Carbs: 247g, Fats: 61g}",2473,"PLAN_114: A halal muscle gain plan for a 26-35 year old female with overweight BMI, managing lactose intolerance. Intermediate level exercise with 2200 kcal daily target."
PLAN_115,Female,18-25,Underweight,Endurance/Stamina,Beginner,Keto,,Soy Allergy,Monday: Light walking 20 mins. Tuesday: Gentle yoga 20 mins. Wednesday: Rest. Thursday: Resistance bands 20 mins. Friday: Walking 25 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Eggs with bacon and avocado. Lunch: Grilled chicken thighs with salad. Dinner: Beef stir fry with vegetables. Snacks: Cheese and olives.,"{Calories: 2800 kcal, Protein: 210g, Carbs: 105g, Fats: 171g}",1648,"PLAN_115: A keto endurance/stamina plan for a 18-25 year old female with underweight BMI, managing soy allergy. Beginner level exercise with 2800 kcal daily target."
PLAN_116,Male,18-25,Overweight,Endurance/Stamina,Advanced,Any,Thyroid Disorder,,Monday: Long run 75 mins. Tuesday: HIIT cycling 35 mins. Wednesday: Swim intervals 55 mins. Thursday: Yoga 30 mins. Friday: Tempo run 50 mins. Saturday: Trail run 100 mins. Sunday: Rest.,Breakfast: Oats with berries and yogurt. Lunch: Chicken wrap with salad. Dinner: Grilled fish with quinoa. Snacks: Yogurt and fruit.,"{Calories: 2500 kcal, Protein: 187g, Carbs: 281g, Fats: 69g}",3729,PLAN_116: A any endurance/stamina plan for a 18-25 year old male with overweight BMI and thyroid disorder. Advanced level exercise with 2500 kcal daily target.
PLAN_117,Female,50+,Normal,Weight Loss,Beginner,Halal,,,Monday: Jogging 35 mins. Tuesday: Resistance training 30 mins. Wednesday: Rest. Thursday: Cycling 40 mins. Friday: HIIT 20 mins. Saturday: Swimming 40 mins. Sunday: Stretching.,Breakfast: Oatmeal with fruit. Lunch: Lamb and vegetable soup with bread. Dinner: Grilled fish with couscous. Snacks: Orange slices.,"{Calories: 1500 kcal, Protein: 112g, Carbs: 168g, Fats: 42g}",1518,PLAN_117: A halal weight loss plan for a 50+ year old female with normal BMI. Beginner level exercise with 1500 kcal daily target.
PLAN_118,Any,18-25,Overweight,Weight Loss,Intermediate,Vegan,Diabetes,,Monday: Jogging 35 mins. Tuesday: Resistance training 30 mins. Wednesday: Rest. Thursday: Cycling 40 mins. Friday: HIIT 20 mins. Saturday: Swimming 40 mins. Sunday: Stretching.,Breakfast: Soy yogurt with granola and berries. Lunch: Tofu and vegetable stir fry with brown rice. Dinner: Lentil soup with crusty bread. Snacks: Hummus with carrot sticks.,"{Calories: 1600 kcal, Protein: 120g, Carbs: 180g, Fats: 44g}",2295,PLAN_118: A vegan weight loss plan for a 18-25 year old any with overweight BMI and diabetes. Intermediate level exercise with 1600 kcal daily target.
PLAN_119,Male,26-35,Obese,Endurance/Stamina,Beginner,Keto,Asthma,,Monday: Walking 25 mins. Tuesday: Light stretching 20 mins. Wednesday: Rest. Thursday: Beginner bodyweight 25 mins. Friday: Walking 30 mins. Saturday: Yoga 20 mins. Sunday: Rest.,Breakfast: Eggs with bacon and avocado. Lunch: Grilled chicken thighs with salad. Dinner: Beef stir fry with vegetables. Snacks: Cheese and olives.,"{Calories: 1600 kcal, Protein: 120g, Carbs: 60g, Fats: 97g}",1672,PLAN_119: A keto endurance/stamina plan for a 26-35 year old male with obese BMI and asthma. Beginner level exercise with 1600 kcal daily target.
PLAN_120,Female,36-50,Underweight,Muscle Gain,Intermediate,Vegan,Hypertension,,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Tofu scramble with oats and fruit. Lunch: Chickpea and rice bowl with tahini. Dinner: Tempeh stir fry with quinoa. Snacks: Protein smoothie and dates.,"{Calories: 2900 kcal, Protein: 217g, Carbs: 326g, Fats: 80g}",2710,PLAN_120: A vegan muscle gain plan for a 36-50 year old female with underweight BMI and hypertension. Intermediate level exercise with 2900 kcal daily target.
PLAN_121,Male,26-35,Normal,Muscle Gain,Intermediate,Any,,Gluten Intolerance,Monday: Strength training 45 mins. Tuesday: Cardio 35 mins. Wednesday: Rest. Thursday: Resistance training 40 mins. Friday: Yoga 30 mins. Saturday: Outdoor activity 50 mins. Sunday: Stretching.,Breakfast: Eggs with rice cakes. Lunch: Turkey and vegetable stir fry with rice. Dinner: Baked salmon with vegetables. Snacks: Fruit and nut mix.,"{Calories: 2600 kcal, Protein: 195g, Carbs: 292g, Fats: 72g}",2625,"PLAN_121: A any muscle gain plan for a 26-35 year old male with normal BMI, managing gluten intolerance. Intermediate level exercise with 2600 kcal daily target."
PLAN_122,Female,18-25,Overweight,Endurance/Stamina,Beginner,Vegan,Diabetes,,Monday: Light walking 20 mins. Tuesday: Gentle yoga 20 mins. Wednesday: Rest. Thursday: Resistance bands 20 mins. Friday: Walking 25 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Soy yogurt with granola and berries. Lunch: Tofu and vegetable stir fry with brown rice. Dinner: Lentil soup with crusty bread. Snacks: Hummus with carrot sticks.,"{Calories: 2000 kcal, Protein: 150g, Carbs: 225g, Fats: 55g}",1449,PLAN_122: A vegan endurance/stamina plan for a 18-25 year old female with overweight BMI and diabetes. Beginner level exercise with 2000 kcal daily target.
PLAN_123,Female,26-35,Obese,Muscle Gain,Beginner,Keto,Diabetes,Gluten Intolerance,Monday: Walking 25 mins. Tuesday: Light stretching 20 mins. Wednesday: Rest. Thursday: Beginner bodyweight 25 mins. Friday: Walking 30 mins. Saturday: Yoga 20 mins. Sunday: Rest.,Breakfast: Omelet with cheese and spinach. Lunch: Steak salad with feta. Dinner: Grilled salmon with asparagus. Snacks: Cheese cubes and cucumber.,"{Calories: 1700 kcal, Protein: 127g, Carbs: 63g, Fats: 104g}",1592,"PLAN_123: A keto muscle gain plan for a 26-35 year old female with obese BMI and diabetes, managing gluten intolerance. Beginner level exercise with 1700 kcal daily target."
PLAN_124,Male,50+,Underweight,Weight Loss,Intermediate,Vegan,,Shellfish Allergy,Monday: Brisk walk 40 mins. Tuesday: Resistance bands 30 mins. Wednesday: Yoga 25 mins. Thursday: Cycling 35 mins. Friday: Jogging 30 mins. Saturday: Swimming 35 mins. Sunday: Rest.,Breakfast: Avocado toast with tomatoes. Lunch: Chickpea salad wrap. Dinner: Tempeh and roasted vegetable bowl. Snacks: Edamame and fruit.,"{Calories: 2100 kcal, Protein: 157g, Carbs: 236g, Fats: 58g}",2271,"PLAN_124: A vegan weight loss plan for a 50+ year old male with underweight BMI, managing shellfish allergy. Intermediate level exercise with 2100 kcal daily target."
PLAN_125,Male,26-35,Underweight,Weight Loss,Beginner,Any,Hypertension,Gluten Intolerance,Monday: Brisk walk 40 mins. Tuesday: Resistance bands 30 mins. Wednesday: Yoga 25 mins. Thursday: Cycling 35 mins. Friday: Jogging 30 mins. Saturday: Swimming 35 mins. Sunday: Rest.,Breakfast: Gluten-free oats with banana. Lunch: Chicken and rice bowl. Dinner: Grilled fish with quinoa. Snacks: Almonds and berries.,"{Calories: 2100 kcal, Protein: 157g, Carbs: 236g, Fats: 58g}",1548,"PLAN_125: A any weight loss plan for a 26-35 year old male with underweight BMI and hypertension, managing gluten intolerance. Beginner level exercise with 2100 kcal daily target."
PLAN_126,Any,26-35,Underweight,Maintenance,Intermediate,Keto,Heart Disease,Gluten Intolerance,Monday: Slow treadmill walk 20 mins. Tuesday: Gentle yoga 25 mins. Wednesday: Rest. Thursday: Water walking 25 mins. Friday: Stretching 20 mins. Saturday: Balance exercises 15 mins. Sunday: Rest.,Breakfast: Scrambled eggs with cream cheese. Lunch: Chicken Caesar salad (no croutons). Dinner: Pork chops with steamed broccoli. Snacks: Pepperoni slices.,"{Calories: 2600 kcal, Protein: 195g, Carbs: 97g, Fats: 159g}",2200,"PLAN_126: A keto maintenance plan for a 26-35 year old any with underweight BMI and heart disease, managing gluten intolerance. Intermediate level exercise with 2600 kcal daily target."
PLAN_127,Male,50+,Overweight,Maintenance,Beginner,Halal,Hypertension,Shellfish Allergy,Monday: Light walking 20 mins. Tuesday: Gentle yoga 20 mins. Wednesday: Rest. Thursday: Resistance bands 20 mins. Friday: Walking 25 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Oatmeal with banana (no salt). Lunch: Grilled chicken with steamed vegetables. Dinner: Fish soup with brown rice (reduced sodium). Snacks: Fresh fruit.,"{Calories: 1400 kcal, Protein: 105g, Carbs: 157g, Fats: 39g}",1801,"PLAN_127: A halal maintenance plan for a 50+ year old male with overweight BMI and hypertension, managing shellfish allergy. Beginner level exercise with 1400 kcal daily target."
PLAN_128,Female,18-25,Overweight,Maintenance,Intermediate,Keto,,Nut Allergy,Monday: Cycling 40 mins. Tuesday: Bodyweight exercises 35 mins. Wednesday: Rest. Thursday: Yoga 30 mins. Friday: Brisk walking 40 mins. Saturday: Hiking 55 mins. Sunday: Stretching.,Breakfast: Smoked salmon with cream cheese. Lunch: Tuna salad with mayo. Dinner: Lamb chops with roasted vegetables. Snacks: Macadamia nuts.,"{Calories: 1900 kcal, Protein: 142g, Carbs: 71g, Fats: 116g}",2657,"PLAN_128: A keto maintenance plan for a 18-25 year old female with overweight BMI, managing nut allergy. Intermediate level exercise with 1900 kcal daily target."
